hosp_id,hospital_name,address,city,state,zip_code,county_name,Country,phone_number,hospital_type,hospital_ownership,emergency_services,meets_criteria_for_meaningful_use_of_ehrs,provider_id
16,CHEROKEE INDIAN HOSPITAL AUTHORITY,CALLER BOX C268,CHEROKEE,NC,28719,SWAIN,USA,(704) 497-9163,Acute Care Hospitals,Government - Federal,TRUE,FALSE,340156
17,ALLEGHANY COUNTY MEMORIAL HOSPITAL,617 DOCTORS STREET,SPARTA,NC,28675,ALLEGHANY,USA,(336) 372-5511,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,FALSE,341320
18,AKRON CHILDREN'S HOSPITAL,1 PERKINS SQUARE,AKRON,OH,44308,SUMMIT,USA,(330) 543-1000,Childrens,Voluntary non-profit - Private,FALSE,FALSE,363303
19,JEFFERSON COUNTY HOSPITAL,INTERSECTION HYWS 81 & 70,WAURIKA,OK,73573,JEFFERSON,USA,(580) 228-2344,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,371311
20,HOSPITAL SAN FRANCISCO,371 DE DIEGO AVE,SAN JUAN,PR,923,SAN JUAN,USA,(787) 767-5100,Acute Care Hospitals,Proprietary,TRUE,TRUE,400098
21,NH Oak Harbor,3475 North Saratoga Street,Oak Harbor,WA,98277,ISLAND,USA,(360) 257-9500,Acute Care - Department of Defense,Department of Defense,FALSE,FALSE,50014F
22,SMOKEY POINT BEHAVIORAL HOSPITAL,3955 156TH ST NE,MARYSVILLE,WA,98271,SNOHOMISH,USA,(212) 243-5565,Psychiatric,Proprietary,FALSE,FALSE,504012
23,ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER,12100 PLUM ORCHARD DRIVE,SILVER SPRING,MD,20904,MONTGOMERY,USA,(301) 891-5651,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,210016
24,MEMORIAL CARE MILLER CHILDREN'S &  WOMEN'S HOSP LB,2801 ATLANTIC AVENUE,LONG BEACH,CA,90806,LOS ANGELES,USA,(562) 933-8001,Childrens,Voluntary non-profit - Other,FALSE,FALSE,53309
25,ADVENTHEALTH LAKE WALES,410 S 11TH ST,LAKE WALES,FL,33853,POLK,USA,(863) 676-1433,Acute Care Hospitals,Proprietary,TRUE,TRUE,100099
26,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,SUMTER,USA,(205) 392-5263,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,FALSE,10138
27,MOUNT WASHINGTON PEDIATRIC HOSPITAL,1708 WEST ROGERS AVENUE,BALTIMORE,MD,21209,BALTIMORE CITY,USA,(410) 578-5050,Childrens,Voluntary non-profit - Private,FALSE,FALSE,213300
28,NEWARK BETH ISRAEL MEDICAL CENTER,201 LYONS AVE,NEWARK,NJ,7112,ESSEX,USA,(973) 926-7850,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,FALSE,310002
29,HOLY CROSS HOSPITAL,2701 W 68TH STREET,CHICAGO,IL,60629,COOK,USA,(773) 884-9000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,140133
30,DAVIS COUNTY HOSPITAL,509 NORTH MADISON STREET,BLOOMFIELD,IA,52537,DAVIS,USA,(641) 664-2145,Critical Access Hospitals,Government - Local,TRUE,FALSE,161327
31,CENTRAL FLORIDA BEHAVIORAL HOSPITAL,6601 CENTRAL FLORIDA PARKWAY,ORLANDO,FL,32821,ORANGE,USA,(407) 370-0111,Psychiatric,Proprietary,FALSE,FALSE,104072
32,FRANCES MAHON DEACONESS HOSPITAL,621 3RD ST S,GLASGOW,MT,59230,VALLEY,USA,(406) 228-3500,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,FALSE,271316
33,81st Medical Group (Keesler AFB),81 MDG 301 Fisher St. Suite 109,Biloxi,MS,39530,HARRISON,USA,(228) 377-6393,Acute Care - Department of Defense,Department of Defense,TRUE,FALSE,25039F
34,PIONEER MEMORIAL HOSPITAL,564 E PIONEER DRIVE,HEPPNER,OR,97836,MORROW,USA,(541) 676-9133,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,381310
35,AIKEN REGIONAL MEDICAL CENTER,302 UNIVERSITY PARKWAY,AIKEN,SC,29801,AIKEN,USA,(803) 641-5900,Acute Care Hospitals,Proprietary,TRUE,TRUE,420082
36,FOUR COUNTY COUNSELING CENTER,1015 MICHIGAN AVE,LOGANSPORT,IN,46947,CASS,USA,(574) 722-5151,Psychiatric,Voluntary non-profit - Private,FALSE,FALSE,154035
37,HIGHPOINT HEALTH,600 WILSON CREEK RD,LAWRENCEBURG,IN,47025,DEARBORN,USA,(812) 537-1010,Acute Care Hospitals,Government - Local,TRUE,TRUE,150086
38,PRISMA HEALTH BAPTIST PARKRIDGE,400 PALMETTO HEALTH PARKWAY,COLUMBIA,SC,29212,LEXINGTON,USA,(803) 907-7011,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,420106
39,ST JOSEPH'S HOSPITAL,45 WEST 10TH STREET,SAINT PAUL,MN,55102,RAMSEY,USA,(651) 232-3000,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,FALSE,240063
40,NATCHAUG HOSPITAL,189 STORRS RD,MANSFIELD CENTER,CT,6250,TOLLAND,USA,(860) 456-1311,Psychiatric,Voluntary non-profit - Private,FALSE,FALSE,74008
41,MEMORIAL HERMANN NORTHEAST HOSPITAL,18951 MEMORIAL NORTH,HUMBLE,TX,77338,HARRIS,USA,(281) 540-7700,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,450684
42,PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO,720 HOSPITAL DRIVE,ANDREWS,TX,79714,ANDREWS,USA,(432) 523-2200,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,450144
43,PHOENIXVILLE HOSPITAL,140 NUTT ROAD,PHOENIXVILLE,PA,19460,CHESTER,USA,(610) 983-1000,Acute Care Hospitals,Proprietary,TRUE,TRUE,390127
44,HAZARD ARH REGIONAL MEDICAL CENTER,100 MEDICAL CENTER DRIVE,HAZARD,KY,41701,PERRY,USA,(606) 439-6600,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,FALSE,180029
45,IROQUOIS MEMORIAL HOSPITAL,200 FAIRMAN STREET,WATSEKA,IL,60970,IROQUOIS,USA,(815) 432-5201,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,140167
46,HANSEN FAMILY HOSPITAL,920 SOUTH OAK STREET,IOWA FALLS,IA,50126,HARDIN,USA,(641) 648-4631,Critical Access Hospitals,Government - Local,TRUE,TRUE,161380
47,COMPASS BEHAVIORAL CENTER OF LAFAYETTE,312 YOUNGSVILLE HIGHWAY,LAFAYETTE,LA,70508,LAFAYETTE,USA,(337) 534-4655,Psychiatric,Proprietary,FALSE,FALSE,194085
48,ST JOSEPH MEDICAL CENTER,2500 BERNVILLE ROAD,READING,PA,19605,BERKS,USA,(610) 378-2000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,390096
49,FERRELL HOSPITAL COMMUNITY FOUNDATIONS,1201 PINE STREET,ELDORADO,IL,62930,SALINE,USA,(618) 273-3361,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,141324
50,TAHOE FOREST HOSPITAL,10121 PINE AVE,TRUCKEE,CA,96161,NEVADA,USA,(530) 587-6011,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,51328
51,COLUMBIA MEMORIAL HOSPITAL,2111 EXCHANGE STREET,ASTORIA,OR,97103,CLATSOP,USA,(503) 325-4321,Critical Access Hospitals,Proprietary,TRUE,TRUE,381320
52,ASCENSION COLUMBIA ST MARY'S HOSPITAL OZAUKEE,13111 N PORT WASHINGTON RD,MEQUON,WI,53097,OZAUKEE,USA,(414) 585-1374,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,520027
53,MISSISSIPPI BAPTIST MEDICAL CENTER,1225 N STATE ST,JACKSON,MS,39202,HINDS,USA,(601) 968-1000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,250102
54,AUXILIO MUTUO HOSPITAL,PONCE DE LEON AVENUE STOP 37 1/2,HATO REY,PR,918,SAN JUAN,USA,(787) 758-2000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,400016
55,"CIRCLES OF CARE, INC",400 E SHERIDAN RD,MELBOURNE,FL,32901,BREVARD,USA,(321) 984-4900,Psychiatric,Voluntary non-profit - Private,FALSE,FALSE,104024
56,LUTHERAN HOSPITAL OF INDIANA,7950 W JEFFERSON BLVD,FORT WAYNE,IN,46804,ALLEN,USA,(260) 435-7001,Acute Care Hospitals,Proprietary,TRUE,TRUE,150017
57,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,GLENDALE,CA,91209,LOS ANGELES,USA,(818) 790-7100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,50124
58,BRAXTON COUNTY MEMORIAL HOSPITAL,100 HOYLMAN DRIVE,GASSAWAY,WV,26624,BRAXTON,USA,(304) 364-5156,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,FALSE,511308
59,SULLIVAN COUNTY MEMORIAL HOSPITAL,630 WEST THIRD STREET,MILAN,MO,63556,SULLIVAN,USA,(660) 265-4212,Critical Access Hospitals,Government - Local,TRUE,FALSE,261306
60,CENTRAL DUPAGE HOSPITAL,25 NORTH WINFIELD ROAD,WINFIELD,IL,60190,DU PAGE,USA,(630) 682-1600,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,140242
61,UTAH STATE HOSPITAL,1300 EAST CENTER STREET,PROVO,UT,84605,UTAH,USA,(801) 344-4400,Psychiatric,Government - State,TRUE,FALSE,464001
62,SCOTTSDALE OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251,MARICOPA,USA,(480) 882-4004,Acute Care Hospitals,Proprietary,TRUE,TRUE,30038
63,REGIONAL WEST GARDEN COUNTY HOSPITAL,1100 WEST 2ND ST,OSHKOSH,NE,69154,GARDEN,USA,(308) 772-3283,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,FALSE,281310
64,DECATUR COUNTY HOSPITAL,810 W  COLUMBIA STREET,OBERLIN,KS,67749,DECATUR,USA,(785) 475-2208,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,171352
65,RIVERWOODS BEHAVIORAL HEALTH SYSTEM,223 MEDICAL CENTER DRIVE,RIVERDALE,GA,30274,CLAYTON,USA,(770) 991-8500,Psychiatric,Proprietary,FALSE,FALSE,114035
66,BACON COUNTY HOSPITAL,302 SOUTH WAYNE STREET,ALMA,GA,31510,BACON,USA,(912) 632-8961,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,FALSE,111327
67,SINAI-GRACE HOSPITAL,6071 W OUTER DRIVE,DETROIT,MI,48235,WAYNE,USA,(313) 966-3300,Acute Care Hospitals,Proprietary,TRUE,TRUE,230024
68,HENRY FORD HOSPITAL,2799 W GRAND BLVD,DETROIT,MI,48202,WAYNE,USA,(313) 916-2600,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,230053
69,Darnall AMC (FT Hood),36000 Darnall Loop,Fort Hood,TX,76544,BELL,USA,(254) 288-8000,Acute Care - Department of Defense,Department of Defense,TRUE,FALSE,45070F
70,SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS,25 POCONO ROAD,DENVILLE,NJ,7834,MORRIS,USA,(973) 983-5569,Acute Care Hospitals,Proprietary,TRUE,TRUE,310050
71,HOSPITAL MENONITA GUAYAMA,AVE. PEDRO ALBIZU CAMPOS URB. LA HACIENDA,GUAYAMA,PR,785,GUAYANILLA,USA,(787) 864-4300,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,400048
72,ADVENTHEALTH CENTRAL TEXAS,2201 S CLEAR CREEK ROAD,KILLEEN,TX,76542,BELL,USA,(254) 526-7523,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,450152
73,WAYNE MEMORIAL HOSPITAL,2700 WAYNE MEMORIAL DR,GOLDSBORO,NC,27534,WAYNE,USA,(919) 736-1110,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,340010
74,PIONEERS MEDICAL CENTER,100 PIONEERS MEDICAL CENTER DR,MEEKER,CO,81641,RIO BLANCO,USA,(970) 878-5047,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,FALSE,61325
75,WELLSPAN EPHRATA COMMUNITY HOSPITAL,169 MARTIN AVENUE,EPHRATA,PA,17522,LANCASTER,USA,(717) 733-0311,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,390225
76,MEDICAL CITY WEATHERFORD,713 E ANDERSON ST,WEATHERFORD,TX,76086,PARKER,USA,(817) 599-1190,Acute Care Hospitals,Proprietary,TRUE,TRUE,450203
77,BEAUMONT HOSPITAL - WAYNE,33155 ANNAPOLIS AVE,WAYNE,MI,48184,WAYNE,USA,(734) 467-4175,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,230142
78,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,ANCHORAGE,USA,(907) 276-1131,Acute Care Hospitals,Proprietary,TRUE,TRUE,20017
79,MEMORIAL HEALTHCARE,826 WEST KING STREET,OWOSSO,MI,48867,SHIAWASSEE,USA,(989) 723-5211,Acute Care Hospitals,Voluntary non-profit - Other,FALSE,TRUE,230121
80,WEEKS MEDICAL CENTER,173 MIDDLE STREET,LANCASTER,NH,3584,COOS,USA,(603) 788-4911,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,301303
81,"COMPASS BEHAVIORAL CENTER OF ALEXANDRIA, INC",6410 MASONIC DRIVE,ALEXANDRIA,LA,71301,RAPIDES,USA,(318) 442-3163,Psychiatric,Proprietary,FALSE,FALSE,194106
82,CENTRAL VALLEY MEDICAL CENTER - CAH,48 WEST 1500 NORTH,NEPHI,UT,84648,JUAB,USA,(435) 623-3000,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,461304
83,PENOBSCOT BAY MEDICAL CENTER,6 GLEN COVE DRIVE,ROCKPORT,ME,4856,KNOX,USA,(207) 921-8000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,200063
84,COMMUNITY MEMORIAL HOSPITAL,1755 NORTH MECKLENBURG AVENUE,SOUTH HILL,VA,23970,MECKLENBURG,USA,(434) 447-3151,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,FALSE,490098
85,LAFAYETTE SURGICAL SPECIALTY HOSPITAL,1101 KALISTE SALOOM RD,LAFAYETTE,LA,70508,LAFAYETTE,USA,(337) 769-4100,Acute Care Hospitals,Proprietary,FALSE,TRUE,190259
86,ST VINCENT HOSPITAL,835 S VAN BUREN ST,GREEN BAY,WI,54301,BROWN,USA,(920) 433-0111,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,520075
87,FORT MADISON COMMUNITY HOSPITAL,5445 AVE O,FORT MADISON,IA,52627,LEE,USA,(319) 372-6530,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,160122
88,RANKEN JORDAN PEDIATRIC BRIDGE HOSPITAL,11365 DORSETT ROAD,MARYLAND HEIGHTS,MO,63043,ST. LOUIS,USA,(314) 872-6400,Childrens,Voluntary non-profit - Private,FALSE,FALSE,263303
89,OCHSNER ST ANNE GENERAL HOSPITAL,4608 HIGHWAY 1,RACELAND,LA,70394,LAFOURCHE,USA,(985) 537-8377,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,191324
90,COMMUNITY HOSPITAL,2000 CAMPBELL DRIVE,TORRINGTON,WY,82240,GOSHEN,USA,(307) 532-4181,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,531307
91,PIONEER MEMORIAL HOSPITAL - CAH,315 N WASHINGTON AVE  POST OFFICE BOX 368,VIBORG,SD,57070,TURNER,USA,(605) 326-5161,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,431328
92,TEXAS GENERAL HOSPITAL- VZRMC LP,707 N WALDRIP ST,GRAND SALINE,TX,75140,VAN ZANDT,USA,(903) 962-5200,Acute Care Hospitals,Proprietary,TRUE,FALSE,670117
93,HIGHLAND DISTRICT HOSPITAL,1275 NORTH HIGH STREET,HILLSBORO,OH,45133,HIGHLAND,USA,(937) 393-6100,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,FALSE,361332
94,CLARKS SUMMIT STATE HOSPITAL,1451 HILLSIDE DRIVE,CLARKS SUMMIT,PA,18411,LACKAWANNA,USA,(570) 586-2011,Psychiatric,Government - State,FALSE,FALSE,394012
95,KANSAS MEDICAL CENTER LLC,1124 WEST 21ST STREET,ANDOVER,KS,67002,BUTLER,USA,(316) 300-4000,Acute Care Hospitals,Proprietary,TRUE,FALSE,170197
96,LAKE NORMAN REGIONAL MEDICAL CENTER,171 FAIRVIEW ROAD,MOORESVILLE,NC,28117,IREDELL,USA,(704) 660-4000,Acute Care Hospitals,Proprietary,TRUE,TRUE,340129
97,NORTHERN LOUISIANA MEDICAL CENTER,401 EAST VAUGHN AVENUE,RUSTON,LA,71270,LINCOLN,USA,(318) 254-2100,Acute Care Hospitals,Proprietary,TRUE,TRUE,190086
98,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,USA,(413) 528-0790,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,FALSE,221302
99,UPMC LITITZ,1500 HIGHLANDS DRIVE,LITITZ,PA,17543,LANCASTER,USA,(717) 625-5670,Acute Care Hospitals,Proprietary,TRUE,TRUE,390068
100,PRISMA HEALTH LAURENS COUNTY HOSPITAL,22725 HIGHWAY 76 EAST,CLINTON,SC,29325,LAURENS,USA,(864) 833-9100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,420038
101,PALO VERDE HOSPITAL,250 NORTH FIRST STREET,BLYTHE,CA,92225,RIVERSIDE,USA,(760) 922-4115,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,FALSE,50423
102,MARTHA JEFFERSON HOSPITAL,500 MARTHA JEFFERSON DRIVE,CHARLOTTESVILLE,VA,22911,ALBEMARLE,USA,(434) 654-7000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,FALSE,490077
103,BEAVER COUNTY MEMORIAL HOSPITAL,212 EAST 8TH STREET,BEAVER,OK,73932,BEAVER,USA,(580) 625-4551,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,371322
104,GIBSON GENERAL HOSPITAL,1808 SHERMAN DR,PRINCETON,IN,47670,GIBSON,USA,(812) 385-3401,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,FALSE,151319
105,UNIVERSITY HOSPITAL MCDUFFIE,2460 WASHINGTON ROAD,THOMSON,GA,30824,MC DUFFIE,USA,(706) 595-1411,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,110111
106,SAINT AGNES MEDICAL CENTER,1303 E HERNDON AVE,FRESNO,CA,93710,FRESNO,USA,(559) 450-3000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,50093
107,TEXAS SCOTTISH RITE HOSPITAL FOR CHILDREN,2222 WELBORN STREET,DALLAS,TX,75219,DALLAS,USA,(214) 559-5000,Childrens,Voluntary non-profit - Private,FALSE,FALSE,453314
108,BARIX CLINICS OF PENNSYLVANIA,280 MIDDLETOWN ROAD,LANGHORNE,PA,19047,BUCKS,USA,(267) 572-3100,Acute Care Hospitals,Proprietary,FALSE,FALSE,390302
109,HUTCHINSON REGIONAL MEDICAL CENTER INC,1701 E 23RD AVENUE,HUTCHINSON,KS,67502,RENO,USA,(620) 665-2001,Acute Care Hospitals,Proprietary,TRUE,TRUE,170020
110,CAPE FEAR VALLEY-BLADEN COUNTY HOSPITAL,501 SOUTH POPLAR STREET,ELIZABETHTOWN,NC,28337,BLADEN,USA,(910) 862-5100,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,FALSE,341315
111,NORTHERN DUTCHESS HOSPITAL,6511 SPRINGBROOK AVENUE,RHINEBECK,NY,12572,DUTCHESS,USA,(845) 871-3391,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,330049
112,ST FRANCIS HOSPITAL,3401 LUDINGTON ST,ESCANABA,MI,49829,DELTA,USA,(906) 786-3311,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,231337
113,BELLEVUE MEDICAL CENTER,2500 BELLEVUE MEDICAL CENTER DR,BELLEVUE,NE,68123,SARPY,USA,(402) 763-3600,Acute Care Hospitals,Proprietary,TRUE,FALSE,280132
114,STEELE MEMORIAL MEDICAL CENTER,203 SOUTH DAISY STREET,SALMON,ID,83467,LEMHI,USA,(208) 756-5600,Critical Access Hospitals,Government - Local,TRUE,FALSE,131305
115,CITRUS MEMORIAL HOSPITAL,502 W HIGHLAND BLVD,INVERNESS,FL,34452,CITRUS,USA,(352) 726-1551,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,100023
116,HCA HOUSTON HEALTHCARE PEARLAND,11100 SHADOW CREEK PARKWAY,PEARLAND,TX,77584,BRAZORIA,USA,(713) 770-7000,Acute Care Hospitals,Proprietary,TRUE,TRUE,670106
117,HAMPTON REGIONAL MEDICAL CENTER,595 WEST CAROLINA AVENUE,VARNVILLE,SC,29944,HAMPTON,USA,(803) 943-2771,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,FALSE,420072
118,LAKESIDE MEDICAL CENTER,39200 HOOKER HWY,BELLE GLADE,FL,33430,PALM BEACH,USA,(561) 996-6571,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,100130
119,CHERRY COUNTY HOSPITAL,"P O BOX 410, 510 NORTH GREEN ST",VALENTINE,NE,69201,CHERRY,USA,(402) 376-2525,Critical Access Hospitals,Government - Local,TRUE,FALSE,281344
120,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI,1265 E COLLEGE ST,PULASKI,TN,38478,GILES,USA,(931) 363-7531,Acute Care Hospitals,Proprietary,TRUE,TRUE,440020
121,SANFORD MEDICAL CENTER MAYVILLE,42 6TH AVENUE SE,MAYVILLE,ND,58257,TRAILL,USA,(701) 786-3800,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,FALSE,351309
122,ASSURANCE HEALTH HUDSON LLC,6260 HUDSON CROSSING PKWY,HUDSON,OH,44236,SUMMIT,USA,(330) 208-9317,Psychiatric,Proprietary,FALSE,FALSE,364059
123,ST JOSEPH HOSPITAL,1100 WEST STEWART DR,ORANGE,CA,92868,ORANGE,USA,(714) 633-9111,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,50069
124,SENECA DISTRICT HOSPITAL,130 BRENTWOOD DRIVE,CHESTER,CA,96020,PLUMAS,USA,(530) 258-2121,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,FALSE,51327
125,ACMH HOSPITAL,ONE NOLTE DRIVE,KITTANNING,PA,16201,ARMSTRONG,USA,(724) 543-8500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,390163
126,"WILLOUGH AT NAPLES, THE",9001 TAMIAMI TRAIL EAST,NAPLES,FL,34113,COLLIER,USA,(941) 775-4500,Psychiatric,Proprietary,FALSE,FALSE,104063
127,SALINE MEMORIAL HOSPITAL,#1 MEDICAL PARK DRIVE,BENTON,AR,72015,SALINE,USA,(501) 776-6000,Acute Care Hospitals,Proprietary,TRUE,TRUE,40084
128,MAYO CLINIC HEALTH SYSTEM - MANKATO,1025 MARSH STREET,MANKATO,MN,56001,BLUE EARTH,USA,(507) 385-2646,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,240093
129,WILSON MEDICAL CENTER,1705 S TARBORO ST,WILSON,NC,27893,WILSON,USA,(252) 399-8040,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,340126
130,TWIN LAKES REGIONAL MEDICAL CENTER,910 WALLACE AVENUE,LEITCHFIELD,KY,42754,GRAYSON,USA,(270) 259-9400,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,FALSE,180070
131,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,368 NE FRANKLIN ST,LAKE CITY,FL,32055,COLUMBIA,USA,(386) 292-8000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,100102
132,SOUTH POINTE HOSPITAL,20000 HARVARD ROAD,WARRENSVILLE HEIGHTS,OH,44122,CUYAHOGA,USA,(216) 491-6000,Acute Care Hospitals,Voluntary non-profit - Other,FALSE,TRUE,360144
